model,split_validation,n_validation,positive_rate_validation,threshold_validation,accuracy_validation,balanced_accuracy_validation,precision_validation,recall_validation,f1_validation,roc_auc_validation,average_precision_validation,log_loss_validation,brier_score_validation,tn_validation,fp_validation,fn_validation,tp_validation,split_test,n_test,positive_rate_test,threshold_test,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,roc_auc_test,average_precision_test,log_loss_test,brier_score_test,tn_test,fp_test,fn_test,tp_test
logistic_regression,validation,1500,0.15,0.6799999999999999,0.8633333333333333,0.8024836601307189,0.5331125827814569,0.7155555555555555,0.6110056925996205,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1134,141,64,161,test,1500,0.15,0.6799999999999999,0.8513333333333334,0.7990849673202615,0.5030864197530864,0.7244444444444444,0.5938069216757741,0.9008871459694989,0.631549645861383,0.40771474176472383,0.13493125964227257,1114,161,62,163
random_forest,validation,1500,0.15,0.29000000000000004,0.8646666666666667,0.8270588235294117,0.5337423312883436,0.7733333333333333,0.631578947368421,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1123,152,51,174,test,1500,0.15,0.29000000000000004,0.8513333333333334,0.8045751633986928,0.503030303030303,0.7377777777777778,0.5981981981981982,0.9103686274509803,0.6664751187767123,0.25692244153449095,0.0800069852027707,1111,164,59,166
xgboost,validation,1500,0.15,0.55,0.8813333333333333,0.8002614379084967,0.5900383141762452,0.6844444444444444,0.6337448559670782,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,1168,107,71,154,test,1500,0.15,0.55,0.8713333333333333,0.7925490196078432,0.5583941605839416,0.68,0.6132264529058116,0.9109507625272331,0.6606165644639186,0.29052289427094835,0.0923104311750821,1154,121,72,153
soft_voting,validation,1500,0.15,0.59,0.8886666666666667,0.7844444444444445,0.6271929824561403,0.6355555555555555,0.6313465783664459,0.9134605664488018,0.6732002922742858,0.28163306080034956,0.08888572730773349,1190,85,82,143,test,1500,0.15,0.59,0.8833333333333333,0.7758169934640523,0.6086956521739131,0.6222222222222222,0.6153846153846154,0.9152697167755991,0.6798771022377177,0.2844957692586274,0.08995345840010248,1185,90,85,140
